"gid" "Title" "Platform" "Metascore" "Avg_Userscore" "Single_player" "Action" "General" "First-Person" "Shooter" "Traditional" "Role-Playing" "Adventure" "Arcade" "Sci-Fi" "Fantasy" "Open-World" "Strategy" "Miscellaneous" "Historic" "2D" "Tactical" "Third-Person" "Real-Time" "Sports" "Racing" "Platformer" "Modern" "Action Adventure" "Team"
"57" 57 "Portal 2" "PC" 19 65 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"58" 58 "Red Dead Redemption" "Xbox360" 19 65 0 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0
"59" 59 "Portal 2" "Xbox360" 19 62 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"60" 60 "Metal Gear Solid V: The Phantom Pain" "XboxOne" 19 49 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"61" 61 "Portal 2" "PlayStation3" 19 60 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"62" 62 "World of Goo" "Wii" 18 62 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"63" 63 "BioShock Infinite" "PlayStation3" 18 60 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"64" 64 "Final Fantasy IX" "PlayStation" 18 64 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"65" 65 "Call of Duty: Modern Warfare 2" "PlayStation3" 18 39 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"66" 66 "Tony Hawk's Pro Skater 4" "PlayStation2" 18 59 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"67" 67 "Devil May Cry" "PlayStation2" 18 61 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"68" 68 "Call of Duty 4: Modern Warfare" "PlayStation3" 18 59 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"69" 69 "Madden NFL 2002" "PlayStation2" 18 49 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"70" 70 "God of War" "PlayStation4" 18 66 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"71" 71 "Batman: Arkham City" "Xbox360" 18 62 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0
"72" 72 "The Elder Scrolls V: Skyrim" "PC" 18 57 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"73" 73 "Mass Effect 2" "PC" 18 63 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"74" 74 "The Legend of Zelda: Ocarina of Time 3D" "3DS" 18 64 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0
"75" 75 "Chrono Cross" "PlayStation" 18 57 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"76" 76 "BioShock" "PlayStation3" 18 62 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"77" 77 "Mass Effect 2" "PlayStation3" 18 60 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"78" 78 "Grand Theft Auto: Vice City" "PC" 18 63 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"79" 79 "Madden NFL 2004" "PlayStation2" 18 59 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"80" 80 "Gears of War" "Xbox360" 18 58 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"81" 81 "The Elder Scrolls IV: Oblivion" "Xbox360" 18 62 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"82" 82 "Sid Meier's Civilization II" "PC" 18 64 1 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"83" 83 "Quake" "PC" 18 63 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"84" 84 "Call of Duty 4: Modern Warfare" "Xbox360" 18 60 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"85" 85 "BioShock Infinite" "PC" 18 61 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"86" 86 "Halo 3" "Xbox360" 18 54 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"87" 87 "Ninja Gaiden Black" "Xbox" 18 62 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"88" 88 "The Elder Scrolls IV: Oblivion" "PC" 18 56 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"89" 89 "Street Fighter IV" "PlayStation3" 18 48 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"90" 90 "Celeste" "XboxOne" 18 39 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"91" 91 "Super Mario Advance 4: Super Mario Bros. 3" "GameBoyAdvance" 18 64 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0
"92" 92 "Jet Grind Radio" "Dreamcast" 18 55 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"93" 93 "Metal Gear Solid" "PlayStation" 18 67 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"94" 94 "Grim Fandango" "PC" 18 66 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"95" 95 "Tom Clancy's Splinter Cell Chaos Theory" "Xbox" 18 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"96" 96 "Burnout 3: Takedown" "Xbox" 18 49 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"97" 97 "Diablo" "PC" 18 62 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"98" 98 "Metal Gear Solid 3: Subsistence" "PlayStation2" 18 65 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"99" 99 "Call of Duty: Modern Warfare 2" "Xbox360" 18 39 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
"100" 100 "Metal Gear Solid 4: Guns of the Patriots" "PlayStation3" 18 63 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
"101" 101 "NCAA Football 2004" "PlayStation2" 18 62 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"102" 102 "God of War" "PlayStation2" 18 64 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"103" 103 "Star Wars: Knights of the Old Republic" "Xbox" 18 65 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
